"year","state_abbr","state_name","population","violent_crime","homicide","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","rape"
1983,"MA","Massachusetts",5767000,33264,203,12023,19543,255707,72291,133883,49533,1495
1983,"MD","Maryland",4304000,34736,367,14950,18007,195828,52697,127443,15688,1412
1983,"ME","Maine",1146000,1829,24,311,1301,40357,11415,27022,1920,193
1983,"MI","Michigan",9069000,64993,910,25873,33125,522450,153438,302118,66894,5085
1983,"MN","Minnesota",4144000,7909,69,3298,3615,159268,44571,106034,8663,927
1983,"MO","Missouri",4970000,23718,403,8346,13639,201418,60496,125140,15782,1330
1983,"MS","Mississippi",2587000,7255,290,1650,4699,75740,26479,45584,3677,616
1983,"MT","Montana",817000,1737,30,192,1353,36208,7420,26918,1870,162
1983,"NC","North Carolina",6082000,24911,490,4840,18249,229540,72348,147068,10124,1332
1983,"ND","North Dakota",680000,365,14,53,213,17828,2967,13983,878,85
1983,"NE","Nebraska",1597000,3477,42,796,2300,57012,12408,42026,2578,339
1983,"NH","New Hampshire",959000,1200,19,231,763,30987,7882,21359,1746,187
1983,"NJ","New Jersey",7468000,41304,399,20086,18553,344296,92391,206778,45127,2266
1983,"NM","New Mexico",1399000,9608,124,1595,7218,79175,21813,53077,4285,671
1983,"NV","Nevada",891000,5838,114,2737,2530,53871,17922,31749,4200,457
1983,"NY","New York",17667000,161489,1958,94783,59452,881322,249115,504346,127861,5296
1983,"OH","Ohio",10746000,42759,600,17132,21640,441362,124179,280156,37027,3387
1983,"OK","Oklahoma",3298000,13964,249,4245,8223,148599,49782,84085,14732,1247
1983,"OR","Oregon",2662000,12986,109,4533,7266,153412,46472,98880,8060,1078
1983,"PA","Pennsylvania",11895000,40782,583,20501,17249,339321,96425,205408,37488,2449
1983,"RI","Rhode Island",955000,3392,26,1078,2128,44410,12722,25463,6225,160
1983,"SC","South Carolina",3264000,20133,321,3425,15243,135590,42263,85501,7826,1144
1983,"SD","South Dakota",7e+05,840,15,111,595,16993,3820,12453,720,119
1983,"TN","Tennessee",4685000,18836,410,8094,8650,169110,56498,97785,14827,1682
1983,"TX","Texas",15724000,80546,2239,29769,42205,848312,262198,503582,82532,6333
1983,"UT","Utah",1619000,4144,56,1041,2644,78715,16446,58453,3816,403
1983,"VA","Virginia",5550000,16236,387,6132,8347,203632,51055,142714,9863,1370
1983,"VT","Vermont",525000,696,19,146,317,21001,5724,14296,981,214
1983,"WA","Washington",4300000,15986,212,4533,9318,245357,70526,163953,10878,1923
1983,"WI","Wisconsin",4751000,9070,131,3415,4663,193118,41980,141434,9704,861
1983,"WV","West Virginia",1965000,3375,96,869,2147,44158,13455,27134,3569,263
1983,"WY","Wyoming",514000,1219,30,153,926,19412,3626,14932,854,110
1984,"AK","Alaska",5e+05,3108,58,547,2045,27468,6184,18140,3144,458
1984,"AL","Alabama",3990000,17204,374,3833,11995,138487,39970,89198,9319,1002
1984,"AR","Arkansas",2349000,7549,176,1587,5089,71554,20810,46807,3937,697
1984,"AZ","Arizona",3053000,15756,238,4003,10199,182670,52327,118604,11739,1316
1984,"CA","California",25622000,195589,2717,83924,97246,1461731,443094,857328,161309,11702
1984,"CO","Colorado",3178000,14548,184,3623,9503,191104,49619,128859,12626,1238
1984,"CT","Connecticut",3154000,12422,122,6009,5532,133573,35607,84630,13336,759
1984,"DC","District of Columbia",623000,10725,175,6087,4097,42799,10954,27471,4374,366
1984,"DE","Delaware",613000,2671,25,711,1635,28021,6678,19747,1596,300
1984,"FL","Florida",10976000,95270,1264,30311,58125,653429,198446,408153,46830,5570
1984,"GA","Georgia",5837000,27935,546,8414,16619,234621,70310,147251,17060,2356
1984,"HI","Hawaii",1039000,2409,34,1204,857,54573,12609,38329,3635,314
1984,"IA","Iowa",2910000,5781,59,1114,4233,104785,25357,74818,4610,375
1984,"ID","Idaho",1001000,2355,34,244,1890,34398,8751,24138,1509,187
1984,"IL","Illinois",11511000,83441,1033,34965,43849,527124,135068,324649,67407,3594
1984,"IN","Indiana",5498000,16781,303,5435,9671,199258,51019,128941,19298,1372
1984,"KS","Kansas",2438000,8147,89,1745,5644,97646,25577,67028,5041,669
1984,"KY","Kentucky",3723000,10342,244,2631,6641,99803,29234,63860,6709,826
1984,"LA","Louisiana",4462000,30251,575,8501,19311,197778,54711,129348,13719,1864
1984,"MA","Massachusetts",5798000,30362,211,10122,18402,235675,63756,123214,48705,1627
1984,"MD","Maryland",4349000,34455,354,13097,19364,192325,51484,123567,17274,1640
1984,"ME","Maine",1156000,1832,20,305,1352,38944,10267,26811,1866,155
1984,"MI","Michigan",9075000,68979,879,27832,34388,525979,149209,298192,78578,5880
1984,"MN","Minnesota",4162000,8802,74,2960,4717,151082,41242,101240,8600,1051
1984,"MO","Missouri",5008000,23071,358,7053,14335,192123,55863,119749,16511,1325
1984,"MS","Mississippi",2598000,7326,252,1572,4787,72169,25464,42952,3753,715
1984,"MT","Montana",824000,1958,36,226,1526,36380,7070,27080,2230,170
1984,"NC","North Carolina",6165000,24885,539,4612,18404,224437,69747,143700,10990,1330
1984,"ND","North Dakota",686000,368,8,53,217,17354,2738,13856,760,90
1984,"NE","Nebraska",1606000,3627,54,693,2499,52526,10339,39875,2312,381
1984,"NH","New Hampshire",977000,1308,10,227,869,29347,7190,20314,1843,202
1984,"NJ","New Jersey",7515000,39659,402,18218,18593,325231,79871,202181,43179,2446
1984,"NM","New Mexico",1424000,9798,130,1856,7029,79108,23349,51195,4564,783
1984,"NV","Nevada",911000,5726,98,2542,2533,54045,18023,31508,4514,553
1984,"NY","New York",17735000,162157,1786,89900,64872,826969,222956,488621,115392,5599
1984,"OH","Ohio",10752000,41430,551,15656,21489,418011,112887,266148,38976,3734
1984,"OK","Oklahoma",3298000,13438,258,3668,8197,147917,47979,84844,15094,1315
1984,"OR","Oregon",2674000,13533,128,4508,7696,153423,48755,96742,7926,1201
1984,"PA","Pennsylvania",11901000,38154,538,17656,17196,325960,88517,196999,40444,2764
1984,"RI","Rhode Island",962000,3220,33,1091,1891,42706,11396,24654,6656,205
1984,"SC","South Carolina",3300000,20607,305,3408,15565,133270,40646,84753,7871,1329
1984,"SD","South Dakota",706000,1041,13,105,733,17403,3529,13102,772,190
1984,"TN","Tennessee",4717000,21010,394,7867,10862,162462,53002,92176,17284,1887
1984,"TX","Texas",15989000,80737,2093,28540,42761,883391,266074,529518,87799,7343
1984,"UT","Utah",1652000,4035,47,958,2694,74703,14176,56782,3745,336
1984,"VA","Virginia",5636000,16660,434,5765,8958,196581,47436,138808,10337,1503
1984,"VT","Vermont",530000,769,12,122,530,20261,5387,14054,820,105
1984,"WA","Washington",4349000,17676,202,5247,10051,247687,74021,162905,10761,2176
1984,"WI","Wisconsin",4766000,9367,117,3167,5293,189484,39755,138526,11203,790
1984,"WV","West Virginia",1952000,3283,86,744,2148,42313,12649,26296,3368,305
1984,"WY","Wyoming",511000,1237,17,118,995,17582,3279,13518,785,107
1985,"AK","Alaska",521000,3031,51,484,2094,27588,6209,18220,3159,402
1985,"AL","Alabama",4021000,18398,396,4237,12686,140115,41612,88108,10395,1079
1985,"AR","Arkansas",2359000,8199,187,1617,5709,76372,22207,49957,4208,686
1985,"AZ","Arizona",3187000,19202,254,4670,12820,207591,59585,135720,12286,1458
1985,"CA","California",26365000,201763,2770,86387,101185,1516710,448506,890967,177237,11421
1985,"CO","Colorado",3231000,15219,189,4012,9697,208336,56480,137868,13988,1321
1985,"CT","Connecticut",3174000,12758,120,6032,5843,136572,36041,86524,14007,763
1985,"DC","District of Columbia",626000,10171,147,5230,4457,39904,10005,24874,5025,337
1985,"DE","Delaware",622000,2695,30,773,1596,28164,6826,19638,1700,296
1985,"FL","Florida",11366000,106971,1296,35506,64165,753918,228402,465792,59724,6004
1985,"GA","Georgia",5976000,30311,620,9812,17292,275070,81070,171950,22050,2587
1985,"HI","Hawaii",1054000,2313,43,1048,912,52501,12164,37357,2980,310
1985,"IA","Iowa",2884000,6106,55,1187,4501,107607,26349,76835,4423,363
1985,"ID","Idaho",1005000,2360,22,269,1877,36916,8917,26170,1829,192
1985,"IL","Illinois",11535000,82448,927,33120,43872,530205,131015,331030,68160,4529
1985,"IN","Indiana",5499000,17014,319,5065,10312,198220,50295,129861,18064,1318
1985,"KS","Kansas",2450000,8716,121,1929,5947,98474,25740,67433,5301,719
1985,"KY","Kentucky",3726000,11384,256,2821,7501,98428,28739,62491,7198,806
1985,"LA","Louisiana",4481000,31108,487,8526,20313,218195,59326,141739,17130,1782
1985,"MA","Massachusetts",5822000,31334,202,10974,18424,245665,65231,130088,50346,1734
1985,"MD","Maryland",4392000,36655,348,13272,21335,199318,52995,126077,20246,1700
1985,"ME","Maine",1164000,1950,28,284,1471,40789,10607,28260,1922,167
1985,"MI","Michigan",9088000,66714,1018,26572,32984,511852,138792,297827,75233,6140
1985,"MN","Minnesota",4193000,10751,88,3598,5823,162597,42663,108954,10980,1242
1985,"MO","Missouri",5029000,25321,409,7425,16019,194247,55252,120650,18345,1468
